x:0.0000 y:0.0000 v:0.0000
x:-0.2497 y:1.0000 v:0.0045
x:-0.4990 y:2.0000 v:0.0090
x:-0.7478 y:3.0000 v:0.0135
x:-0.9960 y:4.0000 v:0.0180
x:-1.2437 y:5.0000 v:0.0225
x:-1.4910 y:6.0000 v:0.0270
x:-1.7377 y:7.0000 v:0.0315
x:-1.9840 y:8.0000 v:0.0360
x:-2.2298 y:9.0000 v:0.0405
x:-2.4750 y:10.0000 v:0.0450
x:-2.7198 y:11.0000 v:0.0494
x:-2.9640 y:12.0000 v:0.0539
x:-3.2078 y:13.0000 v:0.0584
x:-3.4510 y:14.0000 v:0.0629
x:-3.6938 y:15.0000 v:0.0674
x:-3.9360 y:16.0000 v:0.0719
x:-4.1778 y:17.0000 v:0.0764
x:-4.4190 y:18.0000 v:0.0808
x:-4.6598 y:19.0000 v:0.0853
x:-4.9000 y:20.0000 v:0.0898
x:-5.1398 y:21.0000 v:0.0943
x:-5.3790 y:22.0000 v:0.0988
x:-5.6178 y:23.0000 v:0.1032
x:-5.8560 y:24.0000 v:0.1077
x:-6.0938 y:25.0000 v:0.1122
x:-6.3310 y:26.0000 v:0.1167
x:-6.5678 y:27.0000 v:0.1211
x:-6.8040 y:28.0000 v:0.1256
x:-7.0398 y:29.0000 v:0.1301
x:-7.2750 y:30.0000 v:0.1346
x:-7.5098 y:31.0000 v:0.1390
x:-7.7440 y:32.0000 v:0.1435
x:-7.9778 y:33.0000 v:0.1480
x:-8.2110 y:34.0000 v:0.1524
x:-8.4438 y:35.0000 v:0.1569
x:-8.6760 y:36.0000 v:0.1614
x:-8.9078 y:37.0000 v:0.1658
x:-9.1390 y:38.0000 v:0.1703
x:-9.3698 y:39.0000 v:0.1747
x:-9.6000 y:40.0000 v:0.1792
x:-9.8298 y:41.0000 v:0.1837
x:-10.0590 y:42.0000 v:0.1881
x:-10.2878 y:43.0000 v:0.1926
x:-10.5160 y:44.0000 v:0.1970
x:-10.7438 y:45.0000 v:0.2015
x:-10.9710 y:46.0000 v:0.2059
x:-11.1978 y:47.0000 v:0.2104
x:-11.4240 y:48.0000 v:0.2148
x:-11.6498 y:49.0000 v:0.2193
x:-11.8750 y:50.0000 v:0.2238
x:-12.0998 y:51.0000 v:0.2282
x:-12.3240 y:52.0000 v:0.2326
x:-12.5478 y:53.0000 v:0.2371
x:-12.7710 y:54.0000 v:0.2415
x:-12.9938 y:55.0000 v:0.2460
x:-13.2160 y:56.0000 v:0.2504
x:-13.4378 y:57.0000 v:0.2549
x:-13.6590 y:58.0000 v:0.2593
x:-13.8798 y:59.0000 v:0.2638
x:-14.1000 y:60.0000 v:0.2682
x:-14.3198 y:61.0000 v:0.2726
x:-14.5390 y:62.0000 v:0.2771
x:-14.7578 y:63.0000 v:0.2815
x:-14.9760 y:64.0000 v:0.2860
x:-15.1938 y:65.0000 v:0.2904
x:-15.4110 y:66.0000 v:0.2948
x:-15.6278 y:67.0000 v:0.2993
x:-15.8440 y:68.0000 v:0.3037
x:-16.0598 y:69.0000 v:0.3081
x:-16.2750 y:70.0000 v:0.3126
x:-16.4898 y:71.0000 v:0.3170
x:-16.7040 y:72.0000 v:0.3214
x:-16.9178 y:73.0000 v:0.3258
x:-17.1310 y:74.0000 v:0.3303
x:-17.3438 y:75.0000 v:0.3347
x:-17.5560 y:76.0000 v:0.3391
x:-17.7678 y:77.0000 v:0.3435
x:-17.9790 y:78.0000 v:0.3480
x:-18.1898 y:79.0000 v:0.3524
x:-18.4000 y:80.0000 v:0.3568
x:-18.6098 y:81.0000 v:0.3612
x:-18.8190 y:82.0000 v:0.3656
x:-19.0278 y:83.0000 v:0.3701
x:-19.2360 y:84.0000 v:0.3745
x:-19.4438 y:85.0000 v:0.3789
x:-19.6510 y:86.0000 v:0.3833
x:-19.8578 y:87.0000 v:0.3877
x:-20.0640 y:88.0000 v:0.3921
x:-20.2698 y:89.0000 v:0.3965
x:-20.4750 y:90.0000 v:0.4010
x:-20.6798 y:91.0000 v:0.4054
x:-20.8840 y:92.0000 v:0.4098
x:-21.0878 y:93.0000 v:0.4142
x:-21.2910 y:94.0000 v:0.4186
x:-21.4938 y:95.0000 v:0.4230
x:-21.6960 y:96.0000 v:0.4274
x:-21.8978 y:97.0000 v:0.4318
x:-22.0990 y:98.0000 v:0.4362
x:-22.2998 y:99.0000 v:0.4406
x:-22.5000 y:100.0000 v:0.4450
x:-22.6998 y:101.0000 v:0.4494
x:-22.8990 y:102.0000 v:0.4538
x:-23.0978 y:103.0000 v:0.4582
x:-23.2960 y:104.0000 v:0.4626
x:-23.4938 y:105.0000 v:0.4670
x:-23.6910 y:106.0000 v:0.4714
x:-23.8878 y:107.0000 v:0.4758
x:-24.0840 y:108.0000 v:0.4802
x:-24.2798 y:109.0000 v:0.4846
x:-24.4750 y:110.0000 v:0.4890
x:-24.6698 y:111.0000 v:0.4933
x:-24.8640 y:112.0000 v:0.4977
x:-25.0578 y:113.0000 v:0.5021
x:-25.2510 y:114.0000 v:0.5065
x:-25.4438 y:115.0000 v:0.5109
x:-25.6360 y:116.0000 v:0.5153
x:-25.8278 y:117.0000 v:0.5197
x:-26.0190 y:118.0000 v:0.5240
x:-26.2098 y:119.0000 v:0.5284
x:-26.4000 y:120.0000 v:0.5328
x:-26.5898 y:121.0000 v:0.5372
x:-26.7790 y:122.0000 v:0.5416
x:-26.9678 y:123.0000 v:0.5459
x:-27.1560 y:124.0000 v:0.5503
x:-27.3438 y:125.0000 v:0.5547
x:-27.5310 y:126.0000 v:0.5591
x:-27.7178 y:127.0000 v:0.5634
x:-27.9040 y:128.0000 v:0.5678
x:-28.0898 y:129.0000 v:0.5722
x:-28.2750 y:130.0000 v:0.5766
x:-28.4598 y:131.0000 v:0.5809
x:-28.6440 y:132.0000 v:0.5853
x:-28.8278 y:133.0000 v:0.5897
x:-29.0110 y:134.0000 v:0.5940
x:-29.1938 y:135.0000 v:0.5984
x:-29.3760 y:136.0000 v:0.6028
x:-29.5578 y:137.0000 v:0.6071
x:-29.7390 y:138.0000 v:0.6115
x:-29.9198 y:139.0000 v:0.6158
x:-30.1000 y:140.0000 v:0.6202
x:-30.2798 y:141.0000 v:0.6246
x:-30.4590 y:142.0000 v:0.6289
x:-30.6378 y:143.0000 v:0.6333
x:-30.8160 y:144.0000 v:0.6376
